category_path,cat_leaf,cat_depth,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5,cat_l6,cat_l7,category_key
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters|WirelessUSBAdapters,WirelessUSBAdapters,5,Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,,,,1
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries|RechargeableBatteries,RechargeableBatteries,4,Electronics,GeneralPurposeBatteries&BatteryChargers,RechargeableBatteries,,,,,2
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice|Mice",Mice,5,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Mice,,,,3
Computers&Accessories|ExternalDevices&DataStorage|PenDrives|PenDrives,PenDrives,4,Computers&Accessories,ExternalDevices&DataStorage,PenDrives,,,,,4
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables|OpticalCables",OpticalCables,6,Electronics,"HomeTheater,TV&Video",Accessories,Cables,OpticalCables,,,5
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables|SpeakerCables",SpeakerCables,6,Electronics,"HomeTheater,TV&Video",Accessories,Cables,SpeakerCables,,,6
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters|Pop-upToasters,Pop-upToasters,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,Pop-upToasters,,,,7
Electronics|PowerAccessories|SurgeProtectors|SurgeProtectors,SurgeProtectors,4,Electronics,PowerAccessories,SurgeProtectors,,,,,8
Computers&Accessories|NetworkingDevices|Routers|Routers,Routers,4,Computers&Accessories,NetworkingDevices,Routers,,,,,9
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders|HandBlenders,HandBlenders,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,HandBlenders,,,,10
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables|USBCables,USBCables,6,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables,,,11
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons|SteamIrons",SteamIrons,7,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing","Irons,Steamers&Accessories",Irons,SteamIrons,,12
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines|EspressoMachines",EspressoMachines,5,Home&Kitchen,Kitchen&HomeAppliances,"Coffee,Tea&Espresso",EspressoMachines,,,,13
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams|Webcams,Webcams,6,Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,Webcams&VoIPEquipment,Webcams,,,14
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons|DryIrons",DryIrons,7,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing","Irons,Steamers&Accessories",Irons,DryIrons,,15
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers|Rice&PastaCookers,Rice&PastaCookers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,Rice&PastaCookers,,,,16
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers|SandwichMakers,SandwichMakers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,SandwichMakers,,,,17
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers|WaterFilters&Purifiers,WaterFilters&Purifiers,5,Home&Kitchen,Kitchen&HomeAppliances,WaterPurifiers&Accessories,WaterFilters&Purifiers,,,,18
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets|PCHeadsets,PCHeadsets,5,Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,PCHeadsets,,,,19
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors|HeatConvectors",HeatConvectors,5,Home&Kitchen,"Heating,Cooling&AirQuality",RoomHeaters,HeatConvectors,,,,20
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters|ElectricHeaters",ElectricHeaters,5,Home&Kitchen,"Heating,Cooling&AirQuality",RoomHeaters,ElectricHeaters,,,,21
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters|HalogenHeaters",HalogenHeaters,5,Home&Kitchen,"Heating,Cooling&AirQuality",RoomHeaters,HalogenHeaters,,,,22
Computers&Accessories|NetworkingDevices|Repeaters&Extenders|Repeaters&Extenders,Repeaters&Extenders,4,Computers&Accessories,NetworkingDevices,Repeaters&Extenders,,,,,23
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods|ImmersionRods",ImmersionRods,5,Home&Kitchen,"Heating,Cooling&AirQuality",WaterHeaters&Geysers,ImmersionRods,,,,24
OfficeProducts|OfficeElectronics|Calculators|Scientific|Scientific,Scientific,5,OfficeProducts,OfficeElectronics,Calculators,Scientific,,,,25
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories|WaterPurifierAccessories,WaterPurifierAccessories,5,Home&Kitchen,Kitchen&HomeAppliances,WaterPurifiers&Accessories,WaterPurifierAccessories,,,,26
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases|LaptopSleeves&Slipcases,LaptopSleeves&Slipcases,6,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,Bags&Sleeves,LaptopSleeves&Slipcases,,,27
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets|Keyboard&MouseSets",Keyboard&MouseSets,5,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MouseSets,,,,28
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers|ColouringPens&Markers,ColouringPens&Markers,5,Toys&Games,Arts&Crafts,Drawing&PaintingSupplies,ColouringPens&Markers,,,,29
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries|DisposableBatteries,DisposableBatteries,4,Electronics,GeneralPurposeBatteries&BatteryChargers,DisposableBatteries,,,,,30
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop|InductionCooktop,InductionCooktop,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,InductionCooktop,,,,31
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables|HDMICables",HDMICables,6,Electronics,"HomeTheater,TV&Video",Accessories,Cables,HDMICables,,,32
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables|EthernetCables,EthernetCables,6,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,EthernetCables,,,33
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges|WaterCartridges,WaterCartridges,5,Home&Kitchen,Kitchen&HomeAppliances,WaterPurifiers&Accessories,WaterCartridges,,,,34
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders|MixerGrinders,MixerGrinders,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MixerGrinders,,,,35
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks|CompositionNotebooks",CompositionNotebooks,7,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",CompositionNotebooks,,36
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans|ExhaustFans",ExhaustFans,5,Home&Kitchen,"Heating,Cooling&AirQuality",Fans,ExhaustFans,,,,37
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums|Wet-DryVacuums",Wet-DryVacuums,7,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing",Vacuums&FloorCare,Vacuums,Wet-DryVacuums,,38
OfficeProducts|OfficeElectronics|Calculators|Financial&Business|Financial&Business,Financial&Business,5,OfficeProducts,OfficeElectronics,Calculators,Financial&Business,,,,39
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints|Paints,Paints,5,Home&Kitchen,CraftMaterials,PaintingMaterials,Paints,,,,40
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|RoomHeaters",RoomHeaters,4,Home&Kitchen,"Heating,Cooling&AirQuality",RoomHeaters,,,,,41
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens|RetractableBallpointPens",RetractableBallpointPens,8,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",Pens&Refills,RetractableBallpointPens,42
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk|BottledInk",BottledInk,8,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",Pens&Refills,BottledInk,43
Electronics|GeneralPurposeBatteries&BatteryChargers|GeneralPurposeBatteries&BatteryChargers,GeneralPurposeBatteries&BatteryChargers,3,Electronics,GeneralPurposeBatteries&BatteryChargers,,,,,,44
Home&Kitchen|CraftMaterials|PaintingMaterials|PaintingMaterials,PaintingMaterials,4,Home&Kitchen,CraftMaterials,PaintingMaterials,,,,,45
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens|FountainPens",FountainPens,8,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",Pens&Refills,FountainPens,46
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks|WireboundNotebooks",WireboundNotebooks,7,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",WireboundNotebooks,,47
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens|StickBallpointPens",StickBallpointPens,8,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",Pens&Refills,StickBallpointPens,48
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers|DustCovers",DustCovers,6,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,DustCovers,,,49
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards|Keyboards",Keyboards,5,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboards,,,,50
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks|Notepads&MemoBooks",Notepads&MemoBooks,7,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Notebooks,WritingPads&Diaries",Notepads&MemoBooks,,51
Home&Kitchen|CraftMaterials|Scrapbooking|Tape|Tape,Tape,5,Home&Kitchen,CraftMaterials,Scrapbooking,Tape,,,,52
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers|BatteryChargers,BatteryChargers,6,Electronics,Cameras&Photography,Accessories,Batteries&Chargers,BatteryChargers,,,53
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice|GamingMice,GamingMice,5,Computers&Accessories,Accessories&Peripherals,PCGamingPeripherals,GamingMice,,,,54
Computers&Accessories|Accessories&Peripherals|HardDiskBags|HardDiskBags,HardDiskBags,4,Computers&Accessories,Accessories&Peripherals,HardDiskBags,,,,,55
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles|ElectricKettles,ElectricKettles,6,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,Kettles&HotWaterDispensers,ElectricKettles,,,56
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters|FanHeaters",FanHeaters,5,Home&Kitchen,"Heating,Cooling&AirQuality",RoomHeaters,FanHeaters,,,,57
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines|DripCoffeeMachines",DripCoffeeMachines,5,Home&Kitchen,Kitchen&HomeAppliances,"Coffee,Tea&Espresso",DripCoffeeMachines,,,,58
Electronics|Cameras&Photography|Accessories|Film|Film,Film,5,Electronics,Cameras&Photography,Accessories,Film,,,,59
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls|RemoteControls",RemoteControls,5,Electronics,"HomeTheater,TV&Video",Accessories,RemoteControls,,,,60
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens|LiquidInkRollerballPens",LiquidInkRollerballPens,8,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",Pens&Refills,LiquidInkRollerballPens,61
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|Juicers,Juicers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,Juicers,,,,62
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers|VacuumSealers,VacuumSealers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,VacuumSealers,,,,63
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers|LintShavers",LintShavers,6,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing","Irons,Steamers&Accessories",LintShavers,,,64
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps|Lamps,Lamps,5,Computers&Accessories,Accessories&Peripherals,USBGadgets,Lamps,,,,65
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums|CanisterVacuums",CanisterVacuums,7,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing",Vacuums&FloorCare,Vacuums,CanisterVacuums,,66
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils|WoodenPencils,WoodenPencils,7,Home&Kitchen,CraftMaterials,DrawingMaterials,DrawingMedia,Pencils,WoodenPencils,,67
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders|JuicerMixerGrinders,JuicerMixerGrinders,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,JuicerMixerGrinders,,,,68
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear|On-Ear",On-Ear,5,Electronics,"Headphones,Earbuds&Accessories",Headphones,On-Ear,,,,69
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers|WallChargers,WallChargers,6,Electronics,Mobiles&Accessories,MobileAccessories,Chargers,WallChargers,,,70
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories|StandMixerAccessories,StandMixerAccessories,6,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,SmallApplianceParts&Accessories,StandMixerAccessories,,,71
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalKitchenScales,DigitalKitchenScales,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,DigitalKitchenScales,,,,72
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters|InstantWaterHeaters",InstantWaterHeaters,5,Home&Kitchen,"Heating,Cooling&AirQuality",WaterHeaters&Geysers,InstantWaterHeaters,,,,73
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons|WaffleMakers&Irons,WaffleMakers&Irons,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,WaffleMakers&Irons,,,,74
Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies|UninterruptedPowerSupplies,UninterruptedPowerSupplies,4,Computers&Accessories,Accessories&Peripherals,UninterruptedPowerSupplies,,,,,75
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands|Stands,Stands,5,Computers&Accessories,Accessories&Peripherals,TabletAccessories,Stands,,,,76
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers|HandMixers,HandMixers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,HandMixers,,,,77
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters|StorageWaterHeaters",StorageWaterHeaters,5,Home&Kitchen,"Heating,Cooling&AirQuality",WaterHeaters&Geysers,StorageWaterHeaters,,,,78
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers|RotiMakers,RotiMakers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,RotiMakers,,,,79
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories|FanParts&Accessories",FanParts&Accessories,5,Home&Kitchen,"Heating,Cooling&AirQuality",Parts&Accessories,FanParts&Accessories,,,,80
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables|RCACables",RCACables,6,Electronics,"HomeTheater,TV&Video",Accessories,Cables,RCACables,,,81
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear|In-Ear",In-Ear,5,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,,,,82
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters|InkjetPrinters",InkjetPrinters,5,Computers&Accessories,"Printers,Inks&Accessories",Printers,InkjetPrinters,,,,83
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons|MeasuringSpoons",MeasuringSpoons,6,Home&Kitchen,Kitchen&HomeAppliances,"Coffee,Tea&Espresso",CoffeeMakerAccessories,MeasuringSpoons,,,84
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits|CleaningKits,CleaningKits,6,Electronics,Cameras&Photography,Accessories,Cleaners,CleaningKits,,,85
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies|LaptopChargers&PowerSupplies,LaptopChargers&PowerSupplies,5,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,LaptopChargers&PowerSupplies,,,,86
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads|Gamepads,Gamepads,5,Computers&Accessories,Accessories&Peripherals,PCGamingPeripherals,Gamepads,,,,87
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables|DVICables,DVICables,6,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,DVICables,,,88
"Computers&Accessories|Printers,Inks&Accessories|Printers|Printers",Printers,4,Computers&Accessories,"Printers,Inks&Accessories",Printers,,,,,89
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers|HEPAAirPurifiers",HEPAAirPurifiers,5,Home&Kitchen,"Heating,Cooling&AirQuality",AirPurifiers,HEPAAirPurifiers,,,,90
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans|CeilingFans",CeilingFans,5,Home&Kitchen,"Heating,Cooling&AirQuality",Fans,CeilingFans,,,,91
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers|Choppers,Choppers,6,Home&Kitchen,Kitchen&Dining,KitchenTools,ManualChoppers&Chippers,Choppers,,,92
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets|LaundryBaskets,LaundryBaskets,5,Home&Kitchen,HomeStorage&Organization,LaundryOrganization,LaundryBaskets,,,,93
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers|MiniFoodProcessors&Choppers,MiniFoodProcessors&Choppers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MiniFoodProcessors&Choppers,,,,94
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers|Humidifiers",Humidifiers,4,Home&Kitchen,"Heating,Cooling&AirQuality",Humidifiers,,,,,95
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|SmallApplianceParts&Accessories,SmallApplianceParts&Accessories,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,SmallApplianceParts&Accessories,,,,96
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks|ExternalHardDisks,ExternalHardDisks,4,Computers&Accessories,ExternalDevices&DataStorage,ExternalHardDisks,,,,,97
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions|StandardTelevisions",StandardTelevisions,5,Electronics,"HomeTheater,TV&Video",Televisions,StandardTelevisions,,,,98
Electronics|HomeAudio|Accessories|Adapters|Adapters,Adapters,5,Electronics,HomeAudio,Accessories,Adapters,,,,99
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers|AutomobileChargers,AutomobileChargers,6,Electronics,Mobiles&Accessories,MobileAccessories,Chargers,AutomobileChargers,,,100
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles|Cradles,Cradles,6,Electronics,Mobiles&Accessories,MobileAccessories,AutomobileAccessories,Cradles,,,101
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits|CompleteTripodUnits,CompleteTripodUnits,6,Electronics,Cameras&Photography,Accessories,Tripods&Monopods,CompleteTripodUnits,,,102
